"","attachment","Flat 1","Flat 2","Primary 1","Primary 2"
"3321",0.0606683333333333,0.410677671788572,0.361362078285406,0.577366333317764,0.527303976770233
"3322",0.0607016666666667,0.410748055545555,0.361432999223301,0.577438845347094,0.5273741588541
"3323",0.060735,0.410818332071463,0.361503819219834,0.577511270374636,0.527444289569746
"3324",0.0607683333333333,0.410888501369914,0.361574538240453,0.577583608561473,0.527514368906404
"3325",0.0608016666666667,0.410958563444529,0.361645156250603,0.577655860068691,0.527584396853307
"3326",0.060835,0.411028518298929,0.36171567321573,0.577728025057375,0.527654373399687
"3327",0.0608683333333333,0.411098365936732,0.36178608910128,0.577800103688611,0.527724298534778
"3328",0.0609016666666667,0.41116810636156,0.361856403872699,0.577872096123484,0.527794172247812
"3329",0.060935,0.411237739577031,0.361926617495433,0.577944002523079,0.527863994528023
"3330",0.0609683333333333,0.411307265586767,0.361996729934928,0.578015823048481,0.527933765364644
"3331",0.0610016666666667,0.41137668439448,0.362066741156719,0.578087557860775,0.528003484746912
"3332",0.061035,0.411445996872504,0.362136651958459,0.578159207121048,0.528073152715729
"3333",0.0610683333333333,0.411515206884872,0.362206466003781,0.578230770990383,0.528142769489936
"3334",0.0611016666666667,0.411584318939221,0.362276187572877,0.578302249629866,0.528212335326651
"3335",0.061135,0.411653337543192,0.362345820945938,0.578373643200582,0.528281850482996
"3336",0.0611683333333333,0.411722267204421,0.362415370403155,0.578444951863617,0.528351315216089
"3337",0.0612016666666667,0.411791112430549,0.362484840224722,0.578516175780056,0.528420729783051
"3338",0.061235,0.411859877729213,0.362554234690829,0.578587315110984,0.528490094441001
"3339",0.0612683333333333,0.411928567608053,0.362623558081669,0.578658370017487,0.528559409447058
"3340",0.0613016666666667,0.411997186574706,0.362692814677432,0.578729340660649,0.528628675058344
"3341",0.061335,0.412065739136811,0.362762008758312,0.578800227201555,0.528697891531976
"3342",0.0613683333333333,0.412134229802008,0.3628311446045,0.578871029801292,0.528767059125076
"3343",0.0614016666666667,0.412202663077934,0.362900226496187,0.578941748620944,0.528836178094763
"3344",0.061435,0.412271043472228,0.362969258713565,0.579012383821596,0.528905248698157
"3345",0.0614683333333333,0.412339375492529,0.363038245536827,0.579082935564334,0.528974271192378
"3346",0.0615016666666667,0.412407663646475,0.363107191246163,0.579153404010243,0.529043245834544
"3347",0.061535,0.412475912441706,0.363176100121766,0.579223789320408,0.529112172881777
"3348",0.0615683333333333,0.412544126385859,0.363244976443828,0.579294091655915,0.529181052591196
"3349",0.0616016666666667,0.412612309986573,0.363313824492539,0.579364311177847,0.52924988521992
"3350",0.061635,0.412680467751487,0.363382648548093,0.579434448047292,0.529318671025069
"3351",0.0616683333333333,0.41274860418824,0.363451452890681,0.579504502425334,0.529387410263764
"3352",0.0617016666666667,0.412816723804469,0.363520241800494,0.579574474473058,0.529456103193124
"3353",0.061735,0.412884831107814,0.363589019557725,0.57964436435155,0.529524750070268
"3354",0.0617683333333333,0.412952930605914,0.363657790442565,0.579714172221894,0.529593351152317
"3355",0.0618016666666667,0.413021026806406,0.363726558735206,0.579783898245177,0.52966190669639
"3356",0.061835,0.413089124216929,0.363795328715839,0.579853542582483,0.529730416959607
"3357",0.0618683333333333,0.413157227345123,0.363864104664658,0.579923105394897,0.529798882199088
"3358",0.0619016666666667,0.413225340698625,0.363932890861852,0.579992586843504,0.529867302671953
"3359",0.061935,0.413293468785075,0.364001691587615,0.580061987089391,0.52993567863532
"3360",0.0619683333333333,0.41336161611211,0.364070511122137,0.580131306293642,0.530004010346311
"3361",0.0620016666666667,0.413429787187253,0.364139353745499,0.580200544617342,0.530072298062045
"3362",0.062035,0.41349798543691,0.364208222690338,0.580269702221577,0.530140542039642
"3363",0.0620683333333333,0.4135662105639,0.364277117581701,0.580338779267431,0.530208742536221
"3364",0.0621016666666667,0.413634461469989,0.364346037268531,0.580407775915991,0.530276899808902
"3365",0.062135,0.413702737056941,0.36441498059977,0.580476692328341,0.530345014114805
"3366",0.0621683333333333,0.413771036226521,0.364483946424361,0.580545528665566,0.53041308571105
"3367",0.0622016666666667,0.413839357880493,0.364552933591248,0.580614285088752,0.530481114854756
"3368",0.062235,0.413907700920622,0.364621940949372,0.580682961758984,0.530549101803043
"3369",0.0622683333333333,0.413976064248673,0.364690967347676,0.580751558837347,0.530617046813032
"3370",0.0623016666666667,0.41404444676641,0.364760011635104,0.580820076484927,0.530684950141841
"3371",0.062335,0.414112847375597,0.364829072660598,0.580888514862809,0.530752812046591
"3372",0.0623683333333333,0.414181264978,0.364898149273101,0.580956874132077,0.530820632784402
"3373",0.0624016666666667,0.414249698475383,0.364967240321555,0.581025154453817,0.530888412612392
"3374",0.062435,0.414318146769511,0.365036344654904,0.581093355989115,0.530956151787683
"3375",0.0624683333333333,0.414386608762148,0.365105461122091,0.581161478899055,0.531023850567393
"3376",0.0625016666666667,0.414455083355058,0.365174588572057,0.581229523344724,0.531091509208642
"3377",0.062535,0.414523569450007,0.365243725853746,0.581297489487205,0.531159127968551
"3378",0.0625683333333333,0.414592065948759,0.365312871816101,0.581365377487584,0.531226707104239
"3379",0.0626016666666667,0.414660571753078,0.365382025308064,0.581433187506947,0.531294246872825
"3380",0.062635,0.414729085764729,0.365451185178578,0.581500919706379,0.53136174753143
"3381",0.0626683333333333,0.414797606885478,0.365520350276586,0.581568574246965,0.531429209337173
"3382",0.0627016666666667,0.414866134017087,0.365589519451031,0.58163615128979,0.531496632547175
"3383",0.062735,0.414934666061323,0.365658691550855,0.581703650995939,0.531564017418554
"3384",0.0627683333333333,0.415003201919949,0.365727865425002,0.581771073526498,0.531631364208431
"3385",0.0628016666666667,0.415071740494731,0.365797039922414,0.581838419042552,0.531698673173925
"3386",0.062835,0.415140280687432,0.365866213892033,0.581905687705186,0.531765944572156
"3387",0.0628683333333333,0.415208821399817,0.365935386182804,0.581972879675485,0.531833178660245
"3388",0.0629016666666667,0.415277361533652,0.366004555643668,0.582039995114535,0.53190037569531
"3389",0.062935,0.415345899990699,0.366073721123568,0.58210703418342,0.531967535934471
"3390",0.0629683333333333,0.415414435672726,0.366142881471447,0.582173997043227,0.532034659634849
"3391",0.0630016666666667,0.415482967481519,0.366212035536278,0.58224088385504,0.532101747053563
"3392",0.063035,0.415551494548828,0.3662811824516,0.582307694779945,0.532168798447732
